Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
540000,1.3812512,29.296670030272452,5.670122,7.342278990179602,7.342278990179602,6.7083497,0.24928968,0.0002921512,0.1973837,0.0048694476,1.0
570000,1.3804792,29.83539094650206,6.0079536,7.645656180804459,7.645656180804459,7.709829,0.29376712,0.00029171517,0.1972384,0.0048621953,1.0
600000,1.3797604,29.883505154639174,6.2661395,7.57873504043362,7.57873504043362,8.793328,0.3108751,0.00029127405,0.19709133,0.004854858,1.0
630000,1.3785287,30.22060353798127,6.5813184,7.754519046903525,7.754519046903525,9.342681,0.2831665,0.00029082672,0.19694227,0.0048474176,1.0
660000,1.3777692,31.007470651013875,6.911065,8.171680171754343,8.171680171754343,9.97968,0.28775474,0.0002903722,0.19679074,0.0048398576,1.0
690000,1.3776045,31.0042689434365,7.1612167,8.438799086600733,8.438799086600733,10.702663,0.29916695,0.00028991426,0.19663806,0.00483224,1.0
720000,1.3767831,30.897027600849256,7.68994,8.76788716982579,8.76788716982579,11.8517885,0.30301097,0.00028945506,0.19648504,0.004824603,1.0
750000,1.3760749,30.63780359028511,8.228803,8.610436241209255,8.610436241209255,13.131511,0.3450249,0.00028900013,0.1963334,0.0048170364,1.0
780000,1.3768792,31.335490830636463,8.583591,9.120912733088934,9.120912733088934,14.935281,0.35551396,0.00028854192,0.19618064,0.004809413,1.0
810000,1.3775139,30.98827292110874,9.028385,9.083653100009666,9.083653100009666,16.16767,0.37459984,0.00028808173,0.19602723,0.004801759,1.0
840000,1.378278,31.471861471861473,9.42423,9.043289273630554,9.043289273630554,18.699999,0.3870987,0.00028761858,0.19587289,0.0047940556,1.0
870000,1.3789712,30.692713833157338,9.624432,8.857357821973098,8.857357821973098,20.86789,0.43933094,0.0002871605,0.19572018,0.004786436,1.0
900000,1.3796175,31.344864864864864,9.866437,9.26571212154376,9.26571212154376,21.190384,0.4308906,0.0002866997,0.19556653,0.0047787707,1.0
930000,1.3804095,31.21030042918455,10.153833,9.251885809164191,9.251885809164191,22.31066,0.4555374,0.0002862384,0.19541276,0.004771099,1.0
960000,1.381241,31.70633187772926,10.303269,9.48240250323045,9.48240250323045,22.467642,0.44811752,0.00028577357,0.19525789,0.004763366,1.0
990000,1.3821234,31.632208922742112,10.004345,9.21739826838651,9.21739826838651,22.321619,0.43768492,0.00028538046,0.1951268,0.004756828,1.0
1020000,1.383576,31.967069154774972,10.332973,9.759614302103335,9.759614302103335,21.95671,0.44912848,0.0002849895,0.19499652,0.0047503253,1.0
1050000,1.3847107,31.760393873085338,10.691785,9.535778160471322,9.535778160471322,23.815958,0.44926763,0.0002845213,0.19484043,0.0047425376,1.0
1080000,1.3859426,30.68743400211193,10.8940115,9.022821078141867,9.022821078141867,26.02456,0.48633063,0.00028405502,0.19468498,0.0047347806,1.0
1110000,1.386913,32.38573021181717,11.159344,10.211994902129163,10.211994902129163,26.274796,0.45473686,0.0002835944,0.19453146,0.00472712,1.0
1140000,1.3884494,31.71288209606987,10.917293,9.72367551289052,9.72367551289052,26.938265,0.4627098,0.00028312136,0.19437379,0.004719252,1.0
1170000,1.3896128,33.25114155251141,10.788126,10.650887184219274,10.650887184219274,23.938272,0.3999827,0.00028263856,0.19421281,0.004711221,1.0
1200000,1.3899425,32.62780269058296,11.08167,10.253962205798102,10.253962205798102,25.42701,0.41364336,0.00028223312,0.1940777,0.0047044763,1.0
1230000,1.3911355,32.52960893854748,11.265834,10.30574647815867,10.30574647815867,27.40026,0.43728852,0.00028183762,0.19394587,0.004697899,1.0
1260000,1.3923233,33.215753424657535,11.530517,10.515522659640492,10.515522659640492,27.999247,0.438086,0.00028135526,0.19378512,0.004689876,1.0
1290000,1.3926082,33.54147465437788,11.708469,11.042896747692115,11.042896747692115,26.82601,0.3793508,0.00028086753,0.19362248,0.004681763,1.0
1320000,1.3923092,33.53056516724337,12.310478,10.913878301825156,10.913878301825156,30.02308,0.4130075,0.00028037807,0.19345935,0.0046736216,1.0
1350000,1.3938146,33.581314878892734,12.848686,10.873653868077948,10.873653868077948,33.283703,0.4253801,0.0002799707,0.19332358,0.0046668453,1.0
1380000,1.3949862,34.97362110311751,13.33994,11.802075136265309,11.802075136265309,34.086105,0.38967052,0.00027955274,0.19318424,0.004659893,1.0
1410000,1.3964264,33.49483352468427,13.594443,10.935823549689918,10.935823549689918,38.02095,0.44353998,0.000279053,0.19301766,0.004651582,1.0
1440000,1.3981993,33.08472686733556,13.760603,10.777877874892045,10.777877874892045,40.484833,0.459608,0.000278565,0.19285499,0.004643464,1.0
1470000,1.3981404,34.112305854241335,14.092152,11.227507807515291,11.227507807515291,41.399963,0.43691456,0.00027815774,0.19271922,0.004636689,1.0
1500000,1.3989083,33.59515570934256,14.789643,11.24938988871228,11.24938988871228,42.41915,0.4667685,0.00027774452,0.19258149,0.0046298164,1.0
1530000,1.3998742,33.92898719441211,15.033969,11.657166357367919,11.657166357367919,43.444508,0.4765629,0.0002772451,0.19241504,0.00462151,1.0
1560000,1.4008875,34.16510538641686,15.097277,11.599195290121317,11.599195290121317,43.33628,0.44343296,0.00027682976,0.19227657,0.0046146004,1.0
1590000,1.4018337,34.58690476190476,15.347182,11.924382176666107,11.924382176666107,46.17874,0.46045005,0.00027641183,0.19213729,0.00460765,1.0
1620000,1.402922,34.18075117370892,15.56185,11.526513606536989,11.526513606536989,50.267593,0.47756866,0.00027590894,0.19196963,0.0045992853,1.0
