Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
470000,1.3529309,31.25242718446602,3.1527355,9.047254320402299,9.047254320402299,4.2997503,0.2559674,0.0028619166,0.19539724,0.0047703213,1.0
480000,1.349147,30.56645569620253,3.3429582,8.667237466630123,8.667237466630123,4.6350703,0.25974247,0.0028588597,0.1952953,0.0047652363,1.0
490000,1.3456298,30.87220447284345,3.4712691,9.184639060193566,9.184639060193566,3.8147662,0.17669949,0.002855839,0.19519468,0.004760212,1.0
500000,1.3417535,31.25483870967742,3.7051458,9.406331452631182,9.406331452631182,4.0496755,0.1989788,0.002852761,0.19509207,0.0047550933,1.0
510000,1.3394663,32.612794612794616,3.839412,9.873423425543228,9.873423425543228,4.296945,0.20276397,0.0028496399,0.19498806,0.004749901,1.0
520000,1.338857,32.88135593220339,4.020207,10.103793461241965,10.103793461241965,4.127256,0.1682859,0.0028463735,0.1948791,0.004744468,1.0
530000,1.3364424,31.726072607260726,4.0968165,9.964220636789916,9.964220636789916,4.0227923,0.17867231,0.0028431776,0.19477259,0.0047391513,1.0
540000,1.334236,32.36120401337793,4.079605,10.08152268409729,10.08152268409729,4.147345,0.15552165,0.0028400293,0.19466768,0.0047339173,1.0
550000,1.3332653,33.04081632653061,4.136206,10.281012375541286,10.281012375541286,3.9172604,0.17530964,0.0028368337,0.19456114,0.0047286013,1.0
560000,1.3318185,32.65319865319865,4.451603,11.031015304302928,11.031015304302928,4.162492,0.14284706,0.0028336,0.19445333,0.004723222,1.0
570000,1.3304926,33.192439862542955,4.5072007,11.143887189264591,11.143887189264591,4.4829087,0.16964747,0.0028303515,0.19434506,0.004717818,1.0
580000,1.3293886,34.021126760563384,4.627522,11.689243329826153,11.689243329826153,4.7234597,0.1888144,0.0028270578,0.19423528,0.004712341,1.0
590000,1.326376,32.898305084745765,4.8719544,11.75203097290912,11.75203097290912,4.633917,0.18667333,0.0028237777,0.19412597,0.004706884,1.0
600000,1.3248022,34.07394366197183,4.987635,11.885678793254652,11.885678793254652,4.92014,0.17139994,0.0028204524,0.19401506,0.004701351,1.0
610000,1.3214482,33.94648829431438,5.141872,12.225204056979056,12.225204056979056,4.2751117,0.16267367,0.0028171088,0.1939036,0.00469579,1.0
620000,1.3182633,34.29962546816479,5.115115,12.441644038714415,12.441644038714415,None,None,None,None,None,1.0
630000,1.3146966,34.3936170212766,5.338635,12.59627627375278,12.59627627375278,4.62599,0.1813595,0.0028137143,0.19379048,0.0046901456,1.0
640000,1.3131113,33.937282229965156,5.291976,12.304751723485541,12.304751723485541,4.416654,0.13356677,0.0028103439,0.1936781,0.0046845386,1.0
650000,1.3104011,33.33793103448276,5.4859924,12.514509291788148,12.514509291788148,4.6439543,0.13108076,0.0028070235,0.19356744,0.0046790154,1.0
660000,1.3075227,34.38028169014085,5.7520776,13.534834733700162,13.534834733700162,4.826863,0.15943718,0.0028037569,0.19345856,0.0046735825,1.0
670000,1.3053604,34.85251798561151,5.9170117,13.511346175465533,13.511346175465533,5.567232,0.16308337,0.002800384,0.19334611,0.004667972,1.0
680000,1.3032113,34.46594982078853,6.189249,13.772190614951462,13.772190614951462,5.349226,0.14854619,0.0027969677,0.19323221,0.0046622893,1.0
690000,1.2995334,34.644128113879006,6.442981,13.739760855338751,13.739760855338751,6.207658,0.1143308,0.002793587,0.19311956,0.0046566664,1.0
700000,1.2978028,33.90034364261168,6.699008,13.56554409300824,13.56554409300824,5.4736953,0.11895663,0.0027902448,0.19300823,0.0046511083,1.0
710000,1.2959498,35.61940298507463,6.8565617,14.403303589903828,14.403303589903828,None,None,None,None,None,1.0
